台番号,現在台番号,継続分析ID,台順位,推奨撤退回転,当たり後推奨,戦略期待収支円,利益化確率,3万円負け確率,3万円負け確率安全上限,3万円負け確率推定状態,大損失台別標本数,大損失台別発生数,台別モデル3万円負け確率,予測不確実性円,V10利益最適化点,直近7データ日数,V10最終判定,判定理由,総合順位
15,15,15,1,200,全日,25467.54329661299,0.7438952102997617,0.03968954717282244,0.07105864783553174,同一戦略・翌日分布推定（標本82件）,82,2,0.003353061427466346,43119.55138146412,71.53113057409963,7,参考候補,ランダム超過の正式条件未達,1
3,3,34,2,1000,全日,39389.4401824704,0.6892116615410009,0.08520216530143679,0.1711983914841952,同一戦略・翌日分布推定（標本64件）,64,6,0.00247868808346794,43119.55138146412,70.74979770209796,7,参考候補,ランダム超過の正式条件未達,2
5,5,36,3,100,即ヤメ,25494.16421027884,0.6845142996996069,0.003695884475908864,0.04055949946584694,同一戦略・翌日分布推定（標本64件）,64,0,0.002631167188400258,43119.55138146412,70.58642790097221,7,参考候補,ランダム超過の正式条件未達,3
4,4,35,4,100,200回転,20160.58586219417,0.7382279985640613,0.005914897875827885,0.04314679859327029,同一戦略・翌日分布推定（標本60件）,60,0,0.00462983701058828,43119.55138146412,70.41290311925941,7,参考候補,ランダム超過の正式条件未達,4
1,1,32,5,100,即ヤメ,18161.66643468963,0.6914428428363638,0.0005,0.03881389226779573,同一戦略・翌日分布推定（標本67件）,67,0,0.003954692952664081,43119.55138146412,69.59273070607314,7,参考候補,ランダム超過の正式条件未達,5
12,12,12,6,150,即ヤメ,23329.61846103816,0.6601993676867474,0.004464489515440645,0.0339442319423317,同一戦略・翌日分布推定（標本77件）,77,0,0.003015483759775738,43119.55138146412,69.1575164338692,7,参考候補,ランダム超過の正式条件未達,6
11,11,11,7,1000,即ヤメ,22683.22682263557,0.6847480603546683,0.01821167003516432,0.07365621858912069,同一戦略・翌日分布推定（標本79件）,79,2,0.004141295275455245,43119.55138146412,68.58812656193714,7,参考候補,ランダム超過の正式条件未達,7
19,19,9,8,100,即ヤメ,17427.13352964151,0.6643788639584178,0.002147139824450772,0.03194057134597846,同一戦略・翌日分布推定（標本82件）,82,0,0.005058608027648695,43119.55138146412,66.9754717018737,7,参考候補,ランダム超過の正式条件未達,8
10,10,30,9,300,即ヤメ,20609.69516132909,0.6472052834597837,0.0148997136057373,0.03437551327846947,同一戦略・翌日分布推定（標本76件）,76,0,0.005221830354022589,43119.55138146412,66.19465663452229,7,参考候補,ランダム超過の正式条件未達,9
20,20,10,10,1000,全日,34920.98356594441,0.625981241275982,0.1555550205523424,0.232944676298227,同一戦略・翌日分布推定（標本83件）,83,13,0.004551455107285611,43119.55138146412,66.10300593572886,7,参考候補,ランダム超過の正式条件未達,10
13,13,13,11,1000,全日,26490.26839767176,0.614714872408556,0.1044129764526646,0.1881785659724785,同一戦略・翌日分布推定（標本78件）,78,9,0.005099051863975053,43119.55138146412,65.12738392540345,7,参考候補,ランダム超過の正式条件未達,11
16,16,6,12,100,即ヤメ,16988.99426043235,0.5816311573716799,0.0005047072326128728,0.03437551327846947,同一戦略・翌日分布推定（標本76件）,76,0,0.004677487001730289,43119.55138146412,64.5029567557305,7,参考候補,ランダム超過の正式条件未達,12
18,18,8,13,100,即ヤメ,14196.76995167545,0.5916954212835273,0.0005,0.03437551327846947,同一戦略・翌日分布推定（標本76件）,76,0,0.005653523466109546,43119.55138146412,63.95171303948249,7,参考候補,ランダム超過の正式条件未達,13
17,17,7,14,300,即ヤメ,17473.60725790685,0.5894923694605747,0.007483643770230494,0.03437551327846947,同一戦略・翌日分布推定（標本76件）,76,0,0.005876702356092414,43119.55138146412,63.59769215841706,7,参考候補,ランダム超過の正式条件未達,14
9,9,29,15,100,全日,19290.51901384961,0.5929562429521419,0.01654889408249968,0.03271296386072461,同一戦略・翌日分布推定（標本80件）,80,0,0.006331402661305939,43119.55138146412,63.28942687512772,7,参考候補,ランダム超過の正式条件未達,15
14,14,14,16,1000,全日,25053.69549104026,0.586798512157736,0.1040334131701306,0.1952938630745705,同一戦略・翌日分布推定（標本75件）,75,9,0.006243776032161161,43119.55138146412,63.19437485112789,7,参考候補,ランダム超過の正式条件未達,16
8,8,28,17,150,全日,19713.69953047642,0.5762477739125518,0.03731915255084546,0.0547624470282653,同一戦略・翌日分布推定（標本79件）,79,1,0.006546508460711907,43119.55138146412,62.63113954506026,7,参考候補,ランダム超過の正式条件未達,17
6,6,26,18,100,即ヤメ,11967.55328375471,0.5522594975168172,0.0005,0.03721234070416694,同一戦略・翌日分布推定（標本70件）,70,0,0.006386226886263342,43119.55138146412,61.86073125442628,7,参考候補,ランダム超過の正式条件未達,18
7,7,27,19,100,即ヤメ,11820.00147093896,0.5358689586441036,0.0017651170175256,0.03481789501535002,同一戦略・翌日分布推定（標本75件）,75,0,0.008228185197324045,43119.55138146412,60.02192135742873,7,参考候補,ランダム超過の正式条件未達,19
2,2,33,20,100,即ヤメ,9675.84761962371,0.5587141408953588,0.001770915391362449,0.04055949946584694,同一戦略・翌日分布推定（標本64件）,64,0,0.0111654067340315,43119.55138146412,59.73207463508938,7,参考候補,ランダム超過の正式条件未達,20
