予測対象日,順位,現在台番号,予測点,最終判定,信頼度,判定理由,データ品質,台移動影響,モデル成熟度,予測期待収支円,モデルバージョン
2026-07-25,1,15,18.934,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-9,281円",C,なし,★★ 研究中,-9281.468035455558,V9.0
2026-07-25,2,19,17.89,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-13,885円",B,なし,★★ 研究中,-13884.51415793703,V9.0
2026-07-25,3,17,17.421,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-8,838円",C,なし,★★ 研究中,-8837.67874805078,V9.0
2026-07-25,4,13,17.086,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-16,143円",C,なし,★★ 研究中,-16143.10136852354,V9.0
2026-07-25,5,20,14.936,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-16,848円",B,なし,★★ 研究中,-16847.71527534649,V9.0
2026-07-25,6,29,14.658,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-13,943円",B,なし,★★ 研究中,-13943.23688130503,V9.0
2026-07-25,7,27,14.573,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-18,052円",C,なし,★★ 研究中,-18052.20702878943,V9.0
2026-07-25,8,18,14.486,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-16,673円",C,なし,★★ 研究中,-16672.7464134558,V9.0
2026-07-25,9,31,12.321,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-17,454円",C,なし,★★ 研究中,-17454.15277921929,V9.0
2026-07-25,10,11,12.162,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-20,059円",C,なし,★★ 研究中,-20059.37511068503,V9.0
2026-07-25,11,28,11.255,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-16,154円",C,なし,★★ 研究中,-16154.29742353894,V9.0
2026-07-25,12,14,11.069,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-17,782円",C,なし,★★ 研究中,-17781.661679169,V9.0
2026-07-25,13,12,7.395,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-20,406円",C,なし,★★ 研究中,-20406.01921226938,V9.0
2026-07-25,14,26,7.085999999999999,見送り,参考,"データ品質D / モデル正式運用前 / Core見送り / 期待収支-17,428円",D,なし,★★ 研究中,-17428.13315871428,V9.0
2026-07-25,15,16,5.161000000000001,見送り,参考,"モデル正式運用前 / Core見送り / 期待収支-17,306円",C,なし,★★ 研究中,-17306.02769393826,V9.0
2026-07-25,16,30,4.989000000000001,見送り,参考,"データ品質D / モデル正式運用前 / Core見送り / 期待収支-19,555円",D,なし,★★ 研究中,-19555.15459463585,V9.0
2026-07-25,17,21,-0.2729999999999997,見送り,参考,"台移動区間欠損のため参考予測 / データ品質D / モデル正式運用前 / Core見送り / 期待収支-1,325円",D,あり,★★ 研究中,-1325.195034678878,V9.0
2026-07-25,18,25,-0.5019999999999989,見送り,参考,"台移動区間欠損のため参考予測 / データ品質D / モデル正式運用前 / Core見送り / 期待収支-9,886円",D,あり,★★ 研究中,-9885.752238539477,V9.0
2026-07-25,19,22,-1.202999999999999,見送り,参考,"台移動区間欠損のため参考予測 / データ品質D / モデル正式運用前 / Core見送り / 期待収支-13,393円",D,あり,★★ 研究中,-13393.44691330579,V9.0
2026-07-25,20,23,-1.908999999999999,見送り,参考,"台移動区間欠損のため参考予測 / データ品質D / モデル正式運用前 / Core見送り / 期待収支-13,430円",D,あり,★★ 研究中,-13429.83073213989,V9.0
2026-07-25,21,24,-3.404,見送り,参考,"台移動区間欠損のため参考予測 / データ品質D / モデル正式運用前 / Core見送り / 期待収支-9,296円",D,あり,★★ 研究中,-9295.788068456992,V9.0
